127.0.0.1 - - [04/Jul/2016:08:16:56 -0400] "GET / HTTP/1.1" 200 9203 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/50.0.2661.102 Chrome/50.0.2661.102 Safari/537.36"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET / HTTP/1.1" 200 9205 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /app/plugins/shiftnav-responsive-mobile-menu/assets/css/shiftnav.min.css?ver=1.4 HTTP/1.1" 200 16561 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /app/plugins/shiftnav-responsive-mobile-menu/assets/css/fontawesome/css/font-awesome.min.css?ver=1.4 HTTP/1.1" 200 27466 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1" 200 10056 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /app/plugins/gravityforms/css/formreset.min.css?ver=2.0.1 HTTP/1.1" 200 3840 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /app/themes/royale/dist/styles/main-91e4570090.css HTTP/1.1" 200 130428 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /app/plugins/gravityforms/css/readyclass.min.css?ver=2.0.1 HTTP/1.1" 200 28138 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /wp/wp-includes/js/jquery/jquery.js?ver=1.12.4 HTTP/1.1" 200 97184 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:11 -0400] "GET /app/plugins/gravityforms/css/browsers.min.css?ver=2.0.1 HTTP/1.1" 200 8970 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:12 -0400] "GET /app/plugins/shiftnav-responsive-mobile-menu/assets/js/shiftnav.min.js?ver=1.4 HTTP/1.1" 200 14816 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
